nohup: 忽略输入
✅ 检测到已有输出文件，尝试读取已处理结果：/home/cuhk/Documents/Test_lx/Find_Paper/ICRA2024_Title_标题_DOI_Abstract_摘要_关键词.csv
   已同步 0 条已处理结果到当前批次。

--- 待处理总行数: 1760 | 新任务数: 1760 ---
✔ 完成 [70/1760] | 设备: 其他 | 标题: FF-LOGO: Cross-Modality Point Cloud Registration with Feature Filtering and Loca...
✔ 完成 [69/1760] | 设备: 其他 | 标题: Multi-Confidence Guided Source-Free Domain Adaption Method for Point Cloud Primi...
✔ 完成 [71/1760] | 设备: 其他 | 标题: CAPT: Category-level Articulation Estimation from a Single Point Cloud Using Tra...
✔ 完成 [72/1760] | 设备: 其他 | 标题: EdgePoint: Efficient Point Detection and Compact Description via Distillation....
✔ 完成 [75/1760] | 设备: 机械臂 | 标题: Pseudo Labeling and Contextual Curriculum Learning for Online Grasp Learning in ...
✔ 完成 [74/1760] | 设备: 机械臂 | 标题: Uncertainty-driven Exploration Strategies for Online Grasp Learning....
✔ 完成 [79/1760] | 设备: 机械臂 | 标题: Learning to Design 3D Printable Adaptations on Everyday Objects for Robot Manipu...
✔ 完成 [78/1760] | 设备: 机械臂 | 标题: Multi-level Reasoning for Robotic Assembly: From Sequence Inference to Contact S...
✔ 完成 [76/1760] | 设备: 机械臂 | 标题: PoseFusion: Multi-Scale Keypoint Correspondence for Monocular Camera-to-Robot Po...
✔ 完成 [77/1760] | 设备: 机械臂 | 标题: Online Fault Detection in Manipulation Tasks via Generative Models....
✔ 完成 [73/1760] | 设备: 其他 | 标题: Fast and Robust Point Cloud Registration with Tree-based Transformer....
✔ 完成 [80/1760] | 设备: 机械臂 | 标题: Evaluating Robustness of Visual Representations for Object Assembly Task Requiri...
✔ 完成 [81/1760] | 设备: 机械臂 | 标题: Towards Robot to Human Skill Coaching: A ML-powered IoT and HRI Platform for Mar...
✔ 完成 [82/1760] | 设备: 其他 | 标题: Towards Robo-Coach: Robot Interactive Stiffness/Position Adaptation for Human St...
✔ 完成 [83/1760] | 设备: 机械臂 | 标题: Model Predictive Control with Graph Dynamics for Garment Opening Insertion durin...
✔ 完成 [85/1760] | 设备: 其他 | 标题: A transtibial prosthesis using a parallel spring mechanism....
✔ 完成 [90/1760] | 设备: 其他 | 标题: The Un-Kidnappable Robot: Acoustic Localization of Sneaking People....
✔ 完成 [84/1760] | 设备: 其他 | 标题: Comparison of Rating Scale and Pairwise Comparison Methods for Measuring Human C...
✔ 完成 [86/1760] | 设备: 其他 | 标题: Deep Learning based acoustic measurement approach for robotic applications on or...
✔ 完成 [87/1760] | 设备: 其他 | 标题: Towards a Unified Approach for Continuously-Variable Impedance Control of Powere...
✔ 完成 [88/1760] | 设备: 其他 | 标题: Short term after-effects of small force fields applied by an upper-limb exoskele...
✔ 完成 [91/1760] | 设备: 其他 | 标题: Predicting the Intention to Interact with a Service Robot: the Role of Gaze Cues...
✔ 完成 [89/1760] | 设备: 其他 | 标题: Real-time Dexterous Prosthesis Hand Control by Decoding Neural Information Based...
✔ 完成 [92/1760] | 设备: 其他 | 标题: Non-Verbal Cues on Robot-Group Persuasion....
✔ 完成 [93/1760] | 设备: 其他 | 标题: Language and Sketching: An LLM-driven Interactive Multimodal Multitask Robot Nav...
✔ 完成 [96/1760] | 设备: 其他 | 标题: Action Segmentation Using 2D Skeleton Heatmaps and Multi-Modality Fusion....
✔ 完成 [94/1760] | 设备: 其他 | 标题: Dual-modal Tactile E-skin: Enabling Bidirectional Human-Robot Interaction via In...
✔ 完成 [95/1760] | 设备: 其他 | 标题: CAMInterHand: Cooperative Attention for Multi-View Interactive Hand Pose and Mes...
✔ 完成 [101/1760] | 设备: 其他 | 标题: Learning Contact for Haptic Feedback: Switching X-lateral Teleoperators....
✔ 完成 [98/1760] | 设备: 其他 | 标题: A Large-area Tactile Sensor for Distributed Force Sensing Using Highly Sensitive...
✔ 完成 [99/1760] | 设备: 其他 | 标题: A Neuromorphic System for the Real-time Classification of Natural Textures....
✔ 完成 [100/1760] | 设备: 机械臂 | 标题: An Electromagnetism-Inspired Method for Estimating In-Grasp Torque from Visuotac...
✔ 完成 [97/1760] | 设备: 其他 | 标题: ViTacTip: Design and Verification of a Novel Biomimetic Physical Vision-Tactile ...
✔ 完成 [102/1760] | 设备: 其他 | 标题: GelLink: A Compact Multi-phalanx Finger with Vision-based Tactile Sensing and Pr...
✔ 完成 [105/1760] | 设备: 其他 | 标题: Synthesizing Robust Walking Gaits via Discrete-Time Barrier Functions with Appli...
✔ 完成 [104/1760] | 设备: 人形机器人 | 标题: Walking-by-Logic: Signal Temporal Logic-Guided Model Predictive Control for Bipe...
✔ 完成 [103/1760] | 设备: 其他 | 标题: RainbowSight: A Family of Generalizable, Curved, Camera-Based Tactile Sensors Fo...
✔ 完成 [107/1760] | 设备: 人形机器人 | 标题: Data-Driven Latent Space Representation for Robust Bipedal Locomotion Learning....
✔ 完成 [106/1760] | 设备: 人形机器人 | 标题: Efficient, Dynamic Locomotion through Step Placement with Straight Legs and Roll...
✔ 完成 [108/1760] | 设备: 人形机器人 | 标题: LIKO: LiDAR, Inertial, and Kinematic Odometry for Bipedal Robots....
✔ 完成 [109/1760] | 设备: 机械臂 | 标题: Geometric Slosh-Free Tracking for Robotic Manipulators....
✔ 完成 [111/1760] | 设备: 机械臂 | 标题: Prediction of pose errors implied by external forces applied on robots: towards ...
✔ 完成 [110/1760] | 设备: 无人机 | 标题: Online-Learning-Based Distributionally Robust Motion Control with Collision Avoi...
✔ 完成 [112/1760] | 设备: 其他 | 标题: Iterative Learning Control for Deformable Open-Frame Cable-Driven Parallel Robot...
✔ 完成 [113/1760] | 设备: 机械臂 | 标题: A Study of Force-Free Control Framework for Industrial Manipulator Tasks Based o...
✔ 完成 [116/1760] | 设备: 其他 | 标题: A Passive Variable Impedance Control Strategy with Viscoelastic Parameters Estim...
✔ 完成 [118/1760] | 设备: 其他 | 标题: Shadow-Based 3D Pose Estimation of Intraocular Instrument Using Only 2D Images....
✔ 完成 [114/1760] | 设备: 其他 | 标题: Uncertainty-Aware Contextual Visualization for Human Supervision of OCT-Guided A...
✔ 完成 [120/1760] | 设备: 机械臂 | 标题: Real-time Whole-body Motion Planning for Mobile Manipulators Using Environment-a...
✔ 完成 [117/1760] | 设备: 其他 | 标题: Implicit Neural Representations for Breathing-compensated Volume Reconstruction ...
✔ 完成 [115/1760] | 设备: 其他 | 标题: A Track-based Colon Endoscopic Robot with Depth Perception Stereo Cameras for Ha...
✔ 完成 [119/1760] | 设备: 无人小车 | 标题: Robot Task Planning Under Local Observability....
✔ 完成 [121/1760] | 设备: 机械臂 | 标题: Gaussian Mixture Likelihood-based Adaptive MPC for Interactive Mobile Manipulato...
✔ 完成 [122/1760] | 设备: 其他 | 标题: GAMMA: Graspability-Aware Mobile MAnipulation Policy Learning based on Online Gr...
✔ 完成 [123/1760] | 设备: 其他 | 标题: Dynamic Interaction Control in Legged Mobile Manipulators: A Decoupled Approach....
✔ 完成 [124/1760] | 设备: 机械臂 | 标题: Active-Perceptive Motion Generation for Mobile Manipulation....
✔ 完成 [129/1760] | 设备: 机器狗 | 标题: Spined Torso Renders Advanced Mobility for Quadrupedal Locomotion....
✔ 完成 [126/1760] | 设备: 机器狗 | 标题: Self-Righting Shell for Robotic Hexapod....
✔ 完成 [128/1760] | 设备: 无人小车 | 标题: AeroDima: Cheetah-Inspired Aerodynamic Tail Design for Rapid Maneuverability....
✔ 完成 [131/1760] | 设备: 其他 | 标题: LeapRun: A Dynamic Soft Robot with Running and Jumping Capabilities....
✔ 完成 [127/1760] | 设备: 机器狗 | 标题: Quadruped-Frog: Rapid Online Optimization of Continuous Quadruped Jumping....
✔ 完成 [133/1760] | 设备: 其他 | 标题: Towards Centimeter-Scale Underwater Mobile Robots: An Architecture for Capable µ...
✔ 完成 [125/1760] | 设备: 机器狗 | 标题: Visual CPG-RL: Learning Central Pattern Generators for Visually-Guided Quadruped...
✔ 完成 [130/1760] | 设备: 机器狗 | 标题: Pegasus: a Novel Bio-inspired Quadruped Robot with Underactuated Wheeled-Legged ...
✔ 完成 [132/1760] | 设备: 其他 | 标题: Machine Learning-Driven Burrowing with a Snake-Like Robot....
✔ 完成 [134/1760] | 设备: 其他 | 标题: Untethered Bimodal Robotic Fish with Tunable Bistability....
✔ 完成 [135/1760] | 设备: 机械臂 | 标题: Tendon-Driven Continuum Robot for Deep-Sea Application....
✔ 完成 [137/1760] | 设备: 无人机 | 标题: Rapid Resistography with Passive Overhead-perching Mechanism in an Unmanned Aeri...
✔ 完成 [138/1760] | 设备: 无人机 | 标题: Dual Quaternion Control of UAVs with Cable-suspended Load....
✔ 完成 [142/1760] | 设备: 无人机 | 标题: Simulation and Experimental Validation of an Autonomous Perching and Takeoff Met...
✔ 完成 [136/1760] | 设备: 其他 | 标题: WAVE: An open-source underWater Arm-Vehicle Emulator....
✔ 完成 [143/1760] | 设备: 其他 | 标题: Field-VIO: Stereo Visual-Inertial Odometry Based on Quantitative Windows in Agri...
✔ 完成 [139/1760] | 设备: 无人机 | 标题: Aerial Interaction with Tactile Sensing....
✔ 完成 [140/1760] | 设备: 无人机 | 标题: A Meter-scale Ornithopter Capable of Jumping Take-off....
✔ 完成 [141/1760] | 设备: 无人机 | 标题: Autonomous aerial perching and unperching using omnidirectional tiltrotor and sw...
✔ 完成 [148/1760] | 设备: 其他 | 标题: JacobiGPU: GPU-Accelerated Numerical Differentiation for Loop Closure in Visual ...
✔ 完成 [144/1760] | 设备: 无人小车 | 标题: Online Calibration of a Single-Track Ground Vehicle Dynamics Model by Tight Fusi...
✔ 完成 [147/1760] | 设备: 其他 | 标题: Visual Inertial Odometry using Focal Plane Binary Features (BIT-VIO)....
✔ 完成 [146/1760] | 设备: 其他 | 标题: Omnidirectional Dense SLAM for Back-to-back Fisheye Cameras....
✔ 完成 [150/1760] | 设备: 无人小车 | 标题: Salience-guided Ground Factor for Robust Localization of Delivery Robots in Comp...
✔ 完成 [149/1760] | 设备: 其他 | 标题: MAVIS: Multi-Camera Augmented Visual-Inertial SLAM using SE2(3) Based Exact IMU ...
✔ 完成 [145/1760] | 设备: 无人机 | 标题: Square-Root Inverse Filter-based GNSS-Visual-Inertial Navigation....
✔ 完成 [152/1760] | 设备: 无人小车 | 标题: Subsurface Feature-based Ground Robot/Vehicle Localization Using a Ground Penetr...
✔ 完成 [151/1760] | 设备: 其他 | 标题: Block-Map-Based Localization in Large-Scale Environment....
✔ 完成 [153/1760] | 设备: 其他 | 标题: Colmap-PCD: An Open-source Tool for Fine Image-to-point cloud Registration....
✔ 完成 [155/1760] | 设备: 其他 | 标题: MegaParticles: Range-based 6-DoF Monte Carlo Localization with GPU-Accelerated S...
✔ 完成 [156/1760] | 设备: 其他 | 标题: Tightly Coupled Range Inertial Localization on a 3D Prior Map Based on Sliding W...
✔ 完成 [154/1760] | 设备: 其他 | 标题: COIN-LIO: Complementary Intensity-Augmented LiDAR Inertial Odometry....
✔ 完成 [158/1760] | 设备: 机器狗 | 标题: An Onboard Framework for Staircases Modeling Based on Point Clouds....
✔ 完成 [157/1760] | 设备: 其他 | 标题: SPOT: Point Cloud Based Stereo Visual Place Recognition for Similar and Opposing...
✔ 完成 [159/1760] | 设备: 其他 | 标题: V-STRONG: Visual Self-Supervised Traversability Learning for Off-road Navigation...
✔ 完成 [161/1760] | 设备: 其他 | 标题: TSCM: A Teacher-Student Model for Vision Place Recognition Using Cross-Metric Kn...
✔ 完成 [162/1760] | 设备: 其他 | 标题: 3D-BBS: Global Localization for 3D Point Cloud Scan Matching Using Branch-and-Bo...
✔ 完成 [160/1760] | 设备: 无人小车 | 标题: Follow the Footprints: Self-supervised Traversability Estimation for Off-road Ve...
✔ 完成 [163/1760] | 设备: 其他 | 标题: DynaInsRemover: A Real-time Dynamic Instance-Aware Static 3D LiDAR Mapping Frame...
✔ 完成 [165/1760] | 设备: 机械臂 | 标题: Amortized Inference for Efficient Grasp Model Adaptation....
✔ 完成 [166/1760] | 设备: 人形机器人 | 标题: Learning Realistic and Reasonable Grasps for Anthropomorphic Hand in Cluttered S...
✔ 完成 [167/1760] | 设备: 机械臂 | 标题: FuncGrasp: Learning Object-Centric Neural Grasp Functions from Single Annotated ...
✔ 完成 [168/1760] | 设备: 机械臂 | 标题: Physical and Digital Adversarial Attacks on Grasp Quality Networks....
✔ 完成 [171/1760] | 设备: 机械臂 | 标题: Accelerating Robotic Picking of Rigid Objects with a Compliant Pneumatic Gripper...
✔ 完成 [164/1760] | 设备: 其他 | 标题: Efficient 3D Instance Mapping and Localization with Neural Fields....
✔ 完成 [169/1760] | 设备: 机械臂 | 标题: Scaling Object-centric Robotic Manipulation with Multimodal Object Identificatio...
✔ 完成 [170/1760] | 设备: 机械臂 | 标题: A Force-Controlled Gripper Capable of Measuring Mechanical Properties of an Obje...
✔ 完成 [172/1760] | 设备: 其他 | 标题: Vertical Vibratory Transport of Grasped Parts Using Impacts....
✔ 完成 [175/1760] | 设备: 机械臂 | 标题: Design of Highly Repeatable and Multi-Functional Grippers for Precision Handling...
✔ 完成 [173/1760] | 设备: 机械臂 | 标题: Bionic Soft Fingers with Hybrid Variable Stiffness Mechanisms for Multimode Gras...
✔ 完成 [174/1760] | 设备: 其他 | 标题: Design and Fabrication of a Novel Miniature Magnetic Gripper....
✔ 完成 [176/1760] | 设备: 机械臂 | 标题: Generalized Partially Destructive Disassembly Planning for Robotic Disassembly....
✔ 完成 [178/1760] | 设备: 其他 | 标题: VeloVox: A Low-Cost and Accurate 4D Object Detector with Single-Frame Point Clou...
✔ 完成 [181/1760] | 设备: 其他 | 标题: DA-RAW: Domain Adaptive Object Detection for Real-World Adverse Weather Conditio...
✔ 完成 [177/1760] | 设备: 其他 | 标题: IFFNeRF: Initialisation Free and Fast 6DoF pose estimation from a single image a...
✔ 完成 [182/1760] | 设备: 其他 | 标题: Mutual Information-calibrated Conformal Feature Fusion for Uncertainty-Aware Mul...
✔ 完成 [179/1760] | 设备: 其他 | 标题: MTRadSSD: A Multi-Task Single-Stage Detector for Object Detection and Free Space...
✔ 完成 [180/1760] | 设备: 其他 | 标题: Toward Accurate Camera-based 3D Object Detection via Cascade Depth Estimation an...
✔ 完成 [183/1760] | 设备: 其他 | 标题: RGB-based Category-level Object Pose Estimation via Decoupled Metric Scale Recov...
✔ 完成 [184/1760] | 设备: 其他 | 标题: Implicit Coarse-to-Fine 3D Perception for Category-level Object Pose Estimation ...
✔ 完成 [185/1760] | 设备: 其他 | 标题: Vision-Language Interpreter for Robot Task Planning....
✔ 完成 [186/1760] | 设备: 无人机 | 标题: Trust-Region Neural Moving Horizon Estimation for Robots....
✔ 完成 [189/1760] | 设备: 其他 | 标题: Efficient Hybrid Neuromorphic-Bayesian Model for Olfaction Sensing: Detection an...
✔ 完成 [191/1760] | 设备: 其他 | 标题: Subequivariant Reinforcement Learning Framework for Coordinated Motion Control....
✔ 完成 [190/1760] | 设备: 其他 | 标题: DeFlow: Decoder of Scene Flow Network in Autonomous Driving....
✔ 完成 [188/1760] | 设备: 其他 | 标题: ISR-LLM: Iterative Self-Refined Large Language Model for Long-Horizon Sequential...
✔ 完成 [194/1760] | 设备: 机械臂 | 标题: A Simple Computationally Efficient Path ILC for Industrial Robotic Manipulators....
✔ 完成 [192/1760] | 设备: 其他 | 标题: A Large-scale Suction-based Climbing Parallel Robot for Wall Painting Applicatio...
✔ 完成 [195/1760] | 设备: 机械臂 | 标题: RoboGrind: Intuitive and Interactive Surface Treatment with Industrial Robots....
✔ 完成 [193/1760] | 设备: 机械臂 | 标题: A Collision-Aware Cable Grasping Method in Cluttered Environment....
✔ 完成 [187/1760] | 设备: 其他 | 标题: Kinematic-aware Prompting for Generalizable Articulated Object Manipulation with...
✔ 完成 [199/1760] | 设备: 其他 | 标题: RoSSO: A High-Performance Python Package for Robotic Surveillance Strategy Optim...
✔ 完成 [198/1760] | 设备: 机械臂 | 标题: Autonomous Field-of-View Adjustment Using Adaptive Kinematic Constrained Control...
✔ 完成 [197/1760] | 设备: 其他 | 标题: A Retinex Structure-based Low-light Enhancement Model Guided by Spatial Consiste...
✔ 完成 [196/1760] | 设备: 无人小车 | 标题: An LLM-driven Framework for Multiple-Vehicle Dispatching and Navigation in Smart...
✔ 完成 [202/1760] | 设备: 无人小车 | 标题: Reducing Non-IID Effects in Federated Autonomous Driving with Contrastive Diverg...
✔ 完成 [201/1760] | 设备: 无人小车 | 标题: Towards Optimal Lane-changing Coordination of CAVs in Multi-lane Mixed Traffic S...
✔ 完成 [204/1760] | 设备: 其他 | 标题: Hierarchical Learned Risk-Aware Planning Framework for Human Driving Modeling....
✔ 完成 [203/1760] | 设备: 无人小车 | 标题: ODD-based Query-time Scenario Mutation Framework for Autonomous Driving Scenario...
✔ 完成 [205/1760] | 设备: 其他 | 标题: DESTINE: Dynamic Goal Queries with Temporal Transductive Alignment for Trajector...
✔ 完成 [200/1760] | 设备: 机械臂 | 标题: Semi-autonomous surface-tracking tasks using omnidirectional mobile manipulators...
✔ 完成 [206/1760] | 设备: 无人小车 | 标题: Parallel Optimization with Hard Safety Constraints for Cooperative Planning of C...
✔ 完成 [207/1760] | 设备: 其他 | 标题: POLITE: Preferences Combined with Highlights in Reinforcement Learning....
✔ 完成 [209/1760] | 设备: 其他 | 标题: MateRobot: Material Recognition in Wearable Robotics for People with Visual Impa...
✔ 完成 [211/1760] | 设备: 其他 | 标题: Incremental Learning of Full-Pose Via-Point Movement Primitives on Riemannian Ma...
✔ 完成 [213/1760] | 设备: 其他 | 标题: Lissajous Curve-Based Vibrational Orbit Control of a Flexible Vibrational Actuat...
✔ 完成 [210/1760] | 设备: 机械臂 | 标题: Robot-Assisted Navigation for Visually Impaired through Adaptive Impedance and P...
✔ 完成 [208/1760] | 设备: 机械臂 | 标题: CoFRIDA: Self-Supervised Fine-Tuning for Human-Robot Co-Painting....
✔ 完成 [214/1760] | 设备: 其他 | 标题: Dynamic modeling of wing-assisted inclined running with a morphing multi-modal r...
✔ 完成 [212/1760] | 设备: 其他 | 标题: Supernumerary Robotic Limbs to Support Post-Fall Recoveries for Astronauts....
✔ 完成 [215/1760] | 设备: 其他 | 标题: Design and Modeling of a Nested Bi-cavity-based Soft Growing Robot for Grasping ...
✔ 完成 [216/1760] | 设备: 其他 | 标题: Optimized Design and Fabrication of Skeletal Muscle Actuators for Bio-syncretic ...
✔ 完成 [217/1760] | 设备: 其他 | 标题: Stochastic Implicit Neural Signed Distance Functions for Safe Motion Planning un...
✔ 完成 [218/1760] | 设备: 其他 | 标题: Constrained Hierarchical Monte Carlo Belief-State Planning....
✔ 完成 [221/1760] | 设备: 其他 | 标题: Autonomous 3D Exploration in Large-Scale Environments with Dynamic Obstacles....
✔ 完成 [219/1760] | 设备: 其他 | 标题: Estimating 3D Uncertainty Field: Quantifying Uncertainty for Neural Radiance Fie...
✔ 完成 [222/1760] | 设备: 其他 | 标题: MTG: Mapless Trajectory Generator with Traversability Coverage for Outdoor Navig...
✔ 完成 [220/1760] | 设备: 其他 | 标题: Online Adaptation of Sampling-Based Motion Planning with Inaccurate Models....
✔ 完成 [223/1760] | 设备: 其他 | 标题: IBBT: Informed Batch Belief Trees for Motion Planning Under Uncertainty....
